,coaches_School,coaches_Conference,Coach,TotalPay,Bonus,AssistantPay,revenue_School,revenue_Conference,TotalRevenue,TotalExpenses,grad_School,grad_Conference,GSR,FGR,stadium_College,stadium_Conference,Capacity,Opened,Team,Win %,MOV,ATS +/-,institution_name,city_txt,classification_name,PARTIC_MEN_Football,TOTAL_OPEXP_MENWOMEN_Football,MEN_TOTAL_HEADCOACH_Football,MEN_TOTAL_ASSTCOACH_Football,TOTAL_REV_MENWOMEN_Football,TOTAL_EXP_MENWOMEN_Football
16,Georgia State,Sun Belt,Shawn Elliott,"$569,000 ","$220,000 ",$0 ,Georgia State,Sun Belt,"$35,546,650","$38,399,491",Georgia State University,Sun Belt Conference,79.0,72.0,Georgia State,Sun Belt,23000.0,1996.0,Georgia State,60.0%,1.6,3.5,Georgia State University,Atlanta,NCAA Division I-FBS,111.0,1552832.0,1.0,10.0,8688303.0,8688303.0
356,Southern California,Pac-12,Clay Helton,"$2,625,965 ",,$0 ,California,Pac-12,"$87,500,758","$106,676,734",University of Southern California,Pac-12 Conference,82.0,62.0,California,Pac 12,62717.0,1923.0,California,25.0%,-6.2,-4.9,University of Southern California,Los Angeles,NCAA Division I-FBS,118.0,10351768.0,1.0,13.0,53380160.0,36363652.0
290,Michigan State,Big Ten,Mark Dantonio,"$4,390,417 ","$650,000 ",$0 ,Michigan State,Big Ten,"$140,010,865","$135,655,740",Michigan State University,Big Ten Conference,86.0,75.0,Michigan State,Big Ten,75005.0,1923.0,Michigan,33.3%,-6.2,-11.5,Michigan State University,East Lansing,NCAA Division I-FBS,118.0,8493091.0,1.0,14.0,68942427.0,43987682.0
131,Washington State,Pac-12,Mike Leach,"$3,500,000 ","$725,000 ",$0 ,Washington State,Pac-12,"$71,691,339","$76,258,966",Washington State University,Pac-12 Conference,82.0,59.0,Washington State,Pac 12,35117.0,1972.0,Washington,75.0%,5.2,-6.4,Washington State University,Pullman,NCAA Division I-FBS,137.0,3166330.0,1.0,14.0,44039717.0,23049902.0
369,Southern Mississippi,C-USA,Jay Hopson,"$500,000 ","$870,000 ",$0 ,Southern Mississippi,C-USA,"$25,687,189","$25,687,189",The University of Southern Mississippi,Conference USA,70.0,55.0,Southern Miss,CUSA,36000.0,1932.0,Mississippi,50.0%,0.9,2.5,University of Southern Mississippi,Hattiesburg,NCAA Division I-FBS,114.0,1730396.0,1.0,14.0,7761592.0,7761592.0
395,South Carolina,SEC,Will Muschamp,"$4,200,000 ","$1,400,000 ",$0 ,South Carolina,SEC,"$140,695,659","$136,879,732","University of South Carolina, Columbia",Southeastern Conference,89.0,65.0,South Carolina,SEC,80250.0,1934.0,S Carolina,20.0%,-12.5,-5.3,South Carolina State University,Orangeburg,NCAA Division I-FCS,97.0,520271.0,1.0,9.0,2718712.0,2581379.0
409,Brigham Young,Ind.,Kalani Sitake,,,$0 ,,,,,Brigham Young University,Independent,70.0,40.0,,,,,,,,,Brigham Young University-Provo,Provo,NCAA Division I-FBS,123.0,2899650.0,1.0,10.0,25089124.0,18851350.0
398,Boston College,ACC,Steve Addazio,"$2,514,859 ",,$0 ,College of Charleston,CAA,"$21,251,949","$21,858,855",Boston College,Atlantic Coast Conference,90.0,80.0,Boston College,ACC,44500.0,1957.0,Boston Col,54.5%,-0.5,3.3,Boston College,Chestnut Hill,NCAA Division I-FBS,113.0,5093688.0,1.0,10.0,31795533.0,26709656.0
393,Texas Christian,Big 12,Gary Patterson,"$4,840,717 ",,$0 ,Texas,Big 12,"$223,879,781","$204,234,897",Texas Christian University,Big 12 Conference,70.0,59.0,Texas,Big 12,100119.0,1924.0,Texas,70.0%,14.2,4.7,Texas Christian University,Fort Worth,NCAA Division I-FBS,133.0,5735191.0,1.0,10.0,61245684.0,41053901.0
11,North Texas,C-USA,Seth Littrell,"$1,425,000 ","$580,000 ",$0 ,North Texas,C-USA,"$40,758,582","$39,908,256",University of North Texas,Conference USA,81.0,62.0,North Texas,CUSA,30850.0,2011.0,North Texas,40.0%,-8.4,-7.3,University of North Texas,Denton,NCAA Division I-FBS,110.0,2872661.0,1.0,10.0,10748868.0,10748868.0
